"saturation_city","canonical_name","city_id","matched","verified_layers","saturation_percent","lock_status"
"Hillsboro","Hillsboro, OR","city_bf66ad64","True","14","100","locked"
"Houston","Houston, TX","city_0a922e63","True","14","100","locked"
"Idaho Falls","Idaho Falls, ID","city_3fbbe606","True","14","100","locked"
"Independence","Independence, MO","city_16a23f41","True","14","100","locked"
"Indianapolis","Indianapolis, IN","city_1ae44e4f","True","14","100","locked"
"Jacksonville","Jacksonville, FL","city_7e936870","True","14","100","locked"
"Kansas City","Kansas City, MO","city_828fab47","True","14","100","locked"
"Knoxville","Knoxville, TN","city_20eb3715","True","14","100","locked"
"Lakewood","Lakewood, CO","city_1138b2d4","True","14","100","locked"
"Lansing","Lansing, MI","city_b0cd67a6","True","14","100","locked"
"Las Cruces","Las Cruces, NM","city_fa4dd02c","True","14","100","locked"
"Las Vegas","Las Vegas, NV","city_f03b8f57","True","14","100","locked"
"Lexington","Lexington, KY","city_6509ecc5","True","14","100","locked"
"Long Beach","Long Beach, CA","city_0a31d438","True","14","100","locked"
"Los Angeles","Los Angeles, CA","city_1f98af58","True","14","100","locked"
"Louisville","Louisville, KY","city_8e6f63cf","True","14","100","locked"
"Memphis","Memphis, TN","city_c79509a4","True","14","100","locked"
"Meridian","Meridian, ID","city_72c8b2f9","True","14","100","locked"
"Mesa","Mesa, AZ","city_7d043dae","True","14","100","locked"
"Miami","Miami, FL","city_53389926","True","14","100","locked"
"Milwaukee","Milwaukee, WI","city_3fad7905","True","14","100","locked"
"Minneapolis","Minneapolis, MN","city_1fd1b37f","True","14","100","locked"
"Nampa","Nampa, ID","city_70af1d0e","True","14","100","locked"
"Nashville","Nashville, TN","city_154a8fe9","True","14","100","locked"
"New Orleans","New Orleans, LA","city_b5ad2562","True","14","100","locked"
"New York","New York, NY","city_3d50f2fd","True","14","100","locked"
"Norman","Norman, OK","city_9e7d2fb8","True","14","100","locked"
"North Las Vegas","North Las Vegas, NV","city_7662680f","True","14","100","locked"
"Oakland","Oakland, CA","city_8f664c09","True","14","100","locked"
"Oklahoma City","Oklahoma City, OK","city_a2cbee70","True","14","100","locked"
"Omaha","Omaha, NE","city_127606b4","True","14","100","locked"
"Orem","Orem, UT","city_1e4fcd97","True","14","100","locked"
"Orlando","Orlando, FL","city_18d738e7","True","14","100","locked"
"Owensboro","Owensboro, KY","city_17fcb829","True","14","100","locked"
"Philadelphia","Philadelphia, PA","city_01f3a5ed","True","14","100","locked"
"Phoenix","Phoenix, AZ","city_8635d5db","True","14","100","locked"
"Pittsburgh","Pittsburgh, PA","city_49bcf5c9","True","14","100","locked"
"Pocatello","Pocatello, ID","city_4ada292b","True","14","100","locked"
"Portland","Portland, OR","city_ab77b2a8","True","14","100","locked"
"Provo","Provo, UT","city_b0c51a5d","True","14","100","locked"
"Raleigh","Raleigh, NC","city_16f77904","True","14","100","locked"
"Reading","Reading, PA","city_b183167f","True","14","100","locked"
"Reno","Reno, NV","city_f48df4c8","True","14","100","locked"
"Rio Rancho","Rio Rancho, NM","city_5e423e03","True","14","100","locked"
"Rochester","Rochester, MN","city_0d4f6d2f","True","14","100","locked"
"Roswell","Roswell, NM","city_e1fe8704","True","14","100","locked"
"Sacramento","Sacramento, CA","city_47748120","True","14","100","locked"
"Salem","Salem, OR","city_b27a62e8","True","14","100","locked"
"Salt Lake City","Salt Lake City, UT","city_9b7d017c","True","14","100","locked"
"San Antonio","San Antonio, TX","city_c27d5d7f","True","14","100","locked"
"San Diego","San Diego, CA","city_dd17b133","True","14","100","locked"
"San Francisco","San Francisco, CA","city_d2941d41","True","14","100","locked"
"San Jose","San Jose, CA","city_759cd460","True","14","100","locked"
"Santa Fe","Santa Fe, NM","city_60b147f2","True","14","100","locked"
"Scottsdale","Scottsdale, AZ","city_c1a02fde","True","14","100","locked"
"Seattle","Seattle, WA","city_b7ea02a9","True","14","100","locked"
"Sparks","Sparks, NV","city_f7bb5b9c","True","14","100","locked"
"Spokane","Spokane, WA","city_852df262","True","14","100","locked"
"Springfield","Springfield, MO","city_82649311","True","14","100","locked"
"St Louis","St Louis, MO","city_2a5ba728","True","14","100","locked"
"St Paul","St Paul, MN","city_70207d8e","True","14","100","locked"
"St Petersburg","St Petersburg, FL","city_936f1437","True","14","100","locked"
"Tacoma","Tacoma, WA","city_ef557a57","True","14","100","locked"
"Tampa","Tampa, FL","city_af6fd06c","True","14","100","locked"
"Toledo","Toledo, OH","city_4cbdb331","True","14","100","locked"
"Tucson","Tucson, AZ","city_b903b4d0","True","14","100","locked"
"Tulsa","Tulsa, OK","city_936b7d90","True","14","100","locked"
"Vancouver","Vancouver, WA","city_82e75d40","True","14","100","locked"
"Virginia Beach","Virginia Beach, VA","city_29cb8e76","True","14","100","locked"
"Washington","Washington, DC","city_5fedc010","True","14","100","locked"
"West Jordan","West Jordan, UT","city_c084361b","True","14","100","locked"
"West Valley City","West Valley City, UT","city_b6773437","True","14","100","locked"
"Winston-Salem","Winston-Salem, NC","city_763449ef","True","14","100","locked"
