"entity_id","organization_name","organization_type","city","region","country","authentication_status","public_source_present","outreach_allowed"
"BD_BOOK_EXP_00194","WILLIAMSON COUNTY SHERIFF OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00327","WILSON COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00435","WINKLER COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00277","WISE COUNTY SHERIFF","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00462","WISE COUNTY SHERIFFS DEPARTMENT CHICO SUBSTATION","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00416","WOOD COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00296","WOODWAY PUBLIC SAFETY DEPARTMENT","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00415","YOAKUM COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00333","YOUNG COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00272","ZAPATA COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
"BD_BOOK_EXP_00443","ZAVALA COUNTY SHERIFFS OFFICE","MOTORCYCLE_ORGANIZATION",,"TX","USA","PUBLIC_SOURCE_FOUND","True","False"
