"Name","FullName","Length","MatchedCities"
"san_diego_client_propagation_feed.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\san_diego\ui\propagation_feed\san_diego_client_propagation_feed.json","4453","San Diego"
"batch_163_scottsdale_template_initialization_audit.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\scottsdale\audit\batch_163_scottsdale_template_initialization_audit.json","574","Scottsdale"
"batch_165_scottsdale_runtime_merge_graph_audit.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\scottsdale\audit\batch_165_scottsdale_runtime_merge_graph_audit.json","849","Scottsdale"
"scottsdale_runtime_dossiers.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\scottsdale\dossiers\scottsdale_runtime_dossiers.json","9276","Scottsdale"
"scottsdale_runtime_map_nodes.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\scottsdale\map_nodes\scottsdale_runtime_map_nodes.json","4712","Scottsdale"
"scottsdale_merged_city_entities.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\scottsdale\merged\scottsdale_merged_city_entities.json","11581","Scottsdale"
"batch_167_scottsdale_ui_surface_audit.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\scottsdale\ui\audit\batch_167_scottsdale_ui_surface_audit.json","509","Scottsdale"
"scottsdale_client_node_cards.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\scottsdale\ui\node_cards\scottsdale_client_node_cards.json","6734","Scottsdale"
"scottsdale_client_overview_panel.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\scottsdale\ui\panels\scottsdale_client_overview_panel.json","1131","Scottsdale"
"scottsdale_client_propagation_feed.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\scottsdale\ui\propagation_feed\scottsdale_client_propagation_feed.json","4505","Scottsdale"
"batch_163_tucson_template_initialization_audit.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\tucson\audit\batch_163_tucson_template_initialization_audit.json","562","Tucson"
"batch_165_tucson_runtime_merge_graph_audit.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\tucson\audit\batch_165_tucson_runtime_merge_graph_audit.json","837","Tucson"
"tucson_runtime_dossiers.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\tucson\dossiers\tucson_runtime_dossiers.json","9072","Tucson"
"tucson_runtime_map_nodes.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\tucson\map_nodes\tucson_runtime_map_nodes.json","4645","Tucson"
"tucson_merged_city_entities.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\tucson\merged\tucson_merged_city_entities.json","11393","Tucson"
"batch_167_tucson_ui_surface_audit.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\tucson\ui\audit\batch_167_tucson_ui_surface_audit.json","501","Tucson"
"tucson_client_node_cards.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\tucson\ui\node_cards\tucson_client_node_cards.json","6636","Tucson"
"tucson_client_overview_panel.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\tucson\ui\panels\tucson_client_overview_panel.json","1119","Tucson"
"tucson_client_propagation_feed.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\city_runtime\tucson\ui\propagation_feed\tucson_client_propagation_feed.json","4451","Tucson"
"city_runtime_deployment_verify.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\deployment\southern_california\reports\city_runtime_deployment_verify.json","898","Long Beach, Los Angeles, San Diego"
"city_distribution_density_index.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\distribution_density\cities\city_distribution_density_index.v1.json","27285","Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"distribution_density_mapping.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\distribution_density\runtime\distribution_density_mapping.v1.json","60381","Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"federation_entities.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\federation\southern_california\graph\federation_entities.json","151838","Long Beach, Los Angeles, San Diego"
"multi_city_propagation_roots.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\federation\southern_california\propagation\roots\multi_city_propagation_roots.json","36167","Long Beach, Los Angeles, San Diego"
"national_propagation_graph_runtime.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\graph\runtime\national_propagation_graph_runtime.v1.json","15170081","Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"city_influence_index.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\influence\cities\city_influence_index.v1.json","24220","Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"next_city_selection.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\multi_city\next_city\next_city_selection.json","1215","Long Beach, Los Angeles, San Diego"
"national_city_ecosystem_index.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\national\cities\national_city_ecosystem_index.v1.json","21299","Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"national_map_nodes.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\national\map\runtime\national_map_nodes.v1.json","1909489","Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"national_cross_ecosystem_runtime.v1.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\national\runtime\national_cross_ecosystem_runtime.v1.json","1192612","Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"city_organization_discovery_queue.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\organization_discovery\queues\city_organization_discovery_queue.json","56277","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"city_discovery_query_manifest.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\organization_discovery\templates\city_discovery_query_manifest.json","352107","Long Beach, Los Angeles, San Diego, Phoenix, Mesa, Tucson, Las Vegas"
"long_beach_runtime_map_nodes.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\organization_import\runtime\long_beach_runtime_map_nodes.json","8623","Long Beach"
"classified_city_inventory.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\placeholder_purge\exports\classified_city_inventory.json","1105833","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
"normalized_city_inventory_for_purge.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\placeholder_purge\inputs\normalized_city_inventory_for_purge.json","812561","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
"nexus_city_inventory_for_black_dragon_expansion.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\runtime_index\exports\nexus_city_inventory_for_black_dragon_expansion.json","474765","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
"hifld_local_law_enforcement_locations.consolidated_entities.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\source_cache\hifld_local_law_enforcement_locations.consolidated_entities.json","568463","San Diego, Mesa, Henderson"
"batch_168_arizona_two_city_comparison_audit.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\state_federations\arizona\audit\batch_168_arizona_two_city_comparison_audit.json","913","Scottsdale, Mesa"
"arizona_city_initialization_plan.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\state_federations\arizona\cities\arizona_city_initialization_plan.json","1375","Phoenix, Scottsdale, Mesa, Tucson"
"batch_180R_arizona_four_city_rebuild_audit.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\state_federations\arizona\deployment\audit\batch_180R_arizona_four_city_rebuild_audit.json","912","Tucson"
"batch_174_arizona_three_city_federation_audit.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\state_federations\arizona\federation\audit\batch_174_arizona_three_city_federation_audit.json","1469","Phoenix, Scottsdale, Mesa, Tucson"
"arizona_federation_entities.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\state_federations\arizona\federation\graph\arizona_federation_entities.json","46592","Phoenix, Scottsdale, Mesa, Tucson"
"mesa_next_city_selection.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\state_federations\arizona\next_city\mesa_next_city_selection.json","1336","Phoenix, Scottsdale, Mesa, Tucson"
"nevada_city_plan.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\state_federations\nevada\cities\nevada_city_plan.json","959","Las Vegas, Reno, Henderson, Sparks"
"city_expansion_baseline.json","C:\Dev\Nexus_MASTER\public\data\clients\black_dragon\target_expansion\planning\city_expansion_baseline.json","904099","Long Beach, Los Angeles, San Diego, Phoenix, Scottsdale, Mesa, Tucson, Las Vegas, Henderson"
