"city_id","canonical_name","state","scaffold_path","asset_manifest","status"
"city_eedb043f","Eugene, OR","OR",".\data\clients\black_dragon\globe_materialization\city_eedb043f",".\data\clients\black_dragon\globe_materialization\city_eedb043f\asset_manifest.json","queued_for_materialization"
"city_9ba60036","Flint, MI","MI",".\data\clients\black_dragon\globe_materialization\city_9ba60036",".\data\clients\black_dragon\globe_materialization\city_9ba60036\asset_manifest.json","queued_for_materialization"
"city_254d227a","Fort Collins, CO","CO",".\data\clients\black_dragon\globe_materialization\city_254d227a",".\data\clients\black_dragon\globe_materialization\city_254d227a\asset_manifest.json","queued_for_materialization"
"city_47b59fac","Fort Worth, TX","TX",".\data\clients\black_dragon\globe_materialization\city_47b59fac",".\data\clients\black_dragon\globe_materialization\city_47b59fac\asset_manifest.json","queued_for_materialization"
"city_c94decbe","Fresno, CA","CA",".\data\clients\black_dragon\globe_materialization\city_c94decbe",".\data\clients\black_dragon\globe_materialization\city_c94decbe\asset_manifest.json","queued_for_materialization"
"city_5c4c1c64","Grand Rapids, MI","MI",".\data\clients\black_dragon\globe_materialization\city_5c4c1c64",".\data\clients\black_dragon\globe_materialization\city_5c4c1c64\asset_manifest.json","queued_for_materialization"
"city_0e003b8d","Greensboro, NC","NC",".\data\clients\black_dragon\globe_materialization\city_0e003b8d",".\data\clients\black_dragon\globe_materialization\city_0e003b8d\asset_manifest.json","queued_for_materialization"
"city_400670ba","Gresham, OR","OR",".\data\clients\black_dragon\globe_materialization\city_400670ba",".\data\clients\black_dragon\globe_materialization\city_400670ba\asset_manifest.json","queued_for_materialization"
"city_fc1b220f","Henderson, NV","NV",".\data\clients\black_dragon\globe_materialization\city_fc1b220f",".\data\clients\black_dragon\globe_materialization\city_fc1b220f\asset_manifest.json","queued_for_materialization"
"city_bf66ad64","Hillsboro, OR","OR",".\data\clients\black_dragon\globe_materialization\city_bf66ad64",".\data\clients\black_dragon\globe_materialization\city_bf66ad64\asset_manifest.json","queued_for_materialization"
"city_0a922e63","Houston, TX","TX",".\data\clients\black_dragon\globe_materialization\city_0a922e63",".\data\clients\black_dragon\globe_materialization\city_0a922e63\asset_manifest.json","queued_for_materialization"
"city_3fbbe606","Idaho Falls, ID","ID",".\data\clients\black_dragon\globe_materialization\city_3fbbe606",".\data\clients\black_dragon\globe_materialization\city_3fbbe606\asset_manifest.json","queued_for_materialization"
"city_16a23f41","Independence, MO","MO",".\data\clients\black_dragon\globe_materialization\city_16a23f41",".\data\clients\black_dragon\globe_materialization\city_16a23f41\asset_manifest.json","queued_for_materialization"
"city_1ae44e4f","Indianapolis, IN","IN",".\data\clients\black_dragon\globe_materialization\city_1ae44e4f",".\data\clients\black_dragon\globe_materialization\city_1ae44e4f\asset_manifest.json","queued_for_materialization"
"city_7e936870","Jacksonville, FL","FL",".\data\clients\black_dragon\globe_materialization\city_7e936870",".\data\clients\black_dragon\globe_materialization\city_7e936870\asset_manifest.json","queued_for_materialization"
"city_828fab47","Kansas City, MO","MO",".\data\clients\black_dragon\globe_materialization\city_828fab47",".\data\clients\black_dragon\globe_materialization\city_828fab47\asset_manifest.json","queued_for_materialization"
"city_20eb3715","Knoxville, TN","TN",".\data\clients\black_dragon\globe_materialization\city_20eb3715",".\data\clients\black_dragon\globe_materialization\city_20eb3715\asset_manifest.json","queued_for_materialization"
"city_1138b2d4","Lakewood, CO","CO",".\data\clients\black_dragon\globe_materialization\city_1138b2d4",".\data\clients\black_dragon\globe_materialization\city_1138b2d4\asset_manifest.json","queued_for_materialization"
"city_b0cd67a6","Lansing, MI","MI",".\data\clients\black_dragon\globe_materialization\city_b0cd67a6",".\data\clients\black_dragon\globe_materialization\city_b0cd67a6\asset_manifest.json","queued_for_materialization"
"city_fa4dd02c","Las Cruces, NM","NM",".\data\clients\black_dragon\globe_materialization\city_fa4dd02c",".\data\clients\black_dragon\globe_materialization\city_fa4dd02c\asset_manifest.json","queued_for_materialization"
"city_f03b8f57","Las Vegas, NV","NV",".\data\clients\black_dragon\globe_materialization\city_f03b8f57",".\data\clients\black_dragon\globe_materialization\city_f03b8f57\asset_manifest.json","queued_for_materialization"
"city_6509ecc5","Lexington, KY","KY",".\data\clients\black_dragon\globe_materialization\city_6509ecc5",".\data\clients\black_dragon\globe_materialization\city_6509ecc5\asset_manifest.json","queued_for_materialization"
"city_0a31d438","Long Beach, CA","CA",".\data\clients\black_dragon\globe_materialization\city_0a31d438",".\data\clients\black_dragon\globe_materialization\city_0a31d438\asset_manifest.json","queued_for_materialization"
"city_1f98af58","Los Angeles, CA","CA",".\data\clients\black_dragon\globe_materialization\city_1f98af58",".\data\clients\black_dragon\globe_materialization\city_1f98af58\asset_manifest.json","queued_for_materialization"
"city_8e6f63cf","Louisville, KY","KY",".\data\clients\black_dragon\globe_materialization\city_8e6f63cf",".\data\clients\black_dragon\globe_materialization\city_8e6f63cf\asset_manifest.json","queued_for_materialization"
"city_c79509a4","Memphis, TN","TN",".\data\clients\black_dragon\globe_materialization\city_c79509a4",".\data\clients\black_dragon\globe_materialization\city_c79509a4\asset_manifest.json","queued_for_materialization"
"city_72c8b2f9","Meridian, ID","ID",".\data\clients\black_dragon\globe_materialization\city_72c8b2f9",".\data\clients\black_dragon\globe_materialization\city_72c8b2f9\asset_manifest.json","queued_for_materialization"
"city_7d043dae","Mesa, AZ","AZ",".\data\clients\black_dragon\globe_materialization\city_7d043dae",".\data\clients\black_dragon\globe_materialization\city_7d043dae\asset_manifest.json","queued_for_materialization"
"city_53389926","Miami, FL","FL",".\data\clients\black_dragon\globe_materialization\city_53389926",".\data\clients\black_dragon\globe_materialization\city_53389926\asset_manifest.json","queued_for_materialization"
"city_3fad7905","Milwaukee, WI","WI",".\data\clients\black_dragon\globe_materialization\city_3fad7905",".\data\clients\black_dragon\globe_materialization\city_3fad7905\asset_manifest.json","queued_for_materialization"
"city_1fd1b37f","Minneapolis, MN","MN",".\data\clients\black_dragon\globe_materialization\city_1fd1b37f",".\data\clients\black_dragon\globe_materialization\city_1fd1b37f\asset_manifest.json","queued_for_materialization"
"city_70af1d0e","Nampa, ID","ID",".\data\clients\black_dragon\globe_materialization\city_70af1d0e",".\data\clients\black_dragon\globe_materialization\city_70af1d0e\asset_manifest.json","queued_for_materialization"
"city_154a8fe9","Nashville, TN","TN",".\data\clients\black_dragon\globe_materialization\city_154a8fe9",".\data\clients\black_dragon\globe_materialization\city_154a8fe9\asset_manifest.json","queued_for_materialization"
"city_b5ad2562","New Orleans, LA","LA",".\data\clients\black_dragon\globe_materialization\city_b5ad2562",".\data\clients\black_dragon\globe_materialization\city_b5ad2562\asset_manifest.json","queued_for_materialization"
"city_3d50f2fd","New York, NY","NY",".\data\clients\black_dragon\globe_materialization\city_3d50f2fd",".\data\clients\black_dragon\globe_materialization\city_3d50f2fd\asset_manifest.json","queued_for_materialization"
"city_9e7d2fb8","Norman, OK","OK",".\data\clients\black_dragon\globe_materialization\city_9e7d2fb8",".\data\clients\black_dragon\globe_materialization\city_9e7d2fb8\asset_manifest.json","queued_for_materialization"
"city_7662680f","North Las Vegas, NV","NV",".\data\clients\black_dragon\globe_materialization\city_7662680f",".\data\clients\black_dragon\globe_materialization\city_7662680f\asset_manifest.json","queued_for_materialization"
"city_8f664c09","Oakland, CA","CA",".\data\clients\black_dragon\globe_materialization\city_8f664c09",".\data\clients\black_dragon\globe_materialization\city_8f664c09\asset_manifest.json","queued_for_materialization"
"city_a2cbee70","Oklahoma City, OK","OK",".\data\clients\black_dragon\globe_materialization\city_a2cbee70",".\data\clients\black_dragon\globe_materialization\city_a2cbee70\asset_manifest.json","queued_for_materialization"
"city_127606b4","Omaha, NE","NE",".\data\clients\black_dragon\globe_materialization\city_127606b4",".\data\clients\black_dragon\globe_materialization\city_127606b4\asset_manifest.json","queued_for_materialization"
"city_1e4fcd97","Orem, UT","UT",".\data\clients\black_dragon\globe_materialization\city_1e4fcd97",".\data\clients\black_dragon\globe_materialization\city_1e4fcd97\asset_manifest.json","queued_for_materialization"
"city_18d738e7","Orlando, FL","FL",".\data\clients\black_dragon\globe_materialization\city_18d738e7",".\data\clients\black_dragon\globe_materialization\city_18d738e7\asset_manifest.json","queued_for_materialization"
"city_17fcb829","Owensboro, KY","KY",".\data\clients\black_dragon\globe_materialization\city_17fcb829",".\data\clients\black_dragon\globe_materialization\city_17fcb829\asset_manifest.json","queued_for_materialization"
"city_01f3a5ed","Philadelphia, PA","PA",".\data\clients\black_dragon\globe_materialization\city_01f3a5ed",".\data\clients\black_dragon\globe_materialization\city_01f3a5ed\asset_manifest.json","queued_for_materialization"
"city_8635d5db","Phoenix, AZ","AZ",".\data\clients\black_dragon\globe_materialization\city_8635d5db",".\data\clients\black_dragon\globe_materialization\city_8635d5db\asset_manifest.json","queued_for_materialization"
"city_49bcf5c9","Pittsburgh, PA","PA",".\data\clients\black_dragon\globe_materialization\city_49bcf5c9",".\data\clients\black_dragon\globe_materialization\city_49bcf5c9\asset_manifest.json","queued_for_materialization"
"city_4ada292b","Pocatello, ID","ID",".\data\clients\black_dragon\globe_materialization\city_4ada292b",".\data\clients\black_dragon\globe_materialization\city_4ada292b\asset_manifest.json","queued_for_materialization"
"city_ab77b2a8","Portland, OR","OR",".\data\clients\black_dragon\globe_materialization\city_ab77b2a8",".\data\clients\black_dragon\globe_materialization\city_ab77b2a8\asset_manifest.json","queued_for_materialization"
"city_b0c51a5d","Provo, UT","UT",".\data\clients\black_dragon\globe_materialization\city_b0c51a5d",".\data\clients\black_dragon\globe_materialization\city_b0c51a5d\asset_manifest.json","queued_for_materialization"
"city_16f77904","Raleigh, NC","NC",".\data\clients\black_dragon\globe_materialization\city_16f77904",".\data\clients\black_dragon\globe_materialization\city_16f77904\asset_manifest.json","queued_for_materialization"
"city_b183167f","Reading, PA","PA",".\data\clients\black_dragon\globe_materialization\city_b183167f",".\data\clients\black_dragon\globe_materialization\city_b183167f\asset_manifest.json","queued_for_materialization"
"city_f48df4c8","Reno, NV","NV",".\data\clients\black_dragon\globe_materialization\city_f48df4c8",".\data\clients\black_dragon\globe_materialization\city_f48df4c8\asset_manifest.json","queued_for_materialization"
"city_5e423e03","Rio Rancho, NM","NM",".\data\clients\black_dragon\globe_materialization\city_5e423e03",".\data\clients\black_dragon\globe_materialization\city_5e423e03\asset_manifest.json","queued_for_materialization"
"city_0d4f6d2f","Rochester, MN","MN",".\data\clients\black_dragon\globe_materialization\city_0d4f6d2f",".\data\clients\black_dragon\globe_materialization\city_0d4f6d2f\asset_manifest.json","queued_for_materialization"
"city_e1fe8704","Roswell, NM","NM",".\data\clients\black_dragon\globe_materialization\city_e1fe8704",".\data\clients\black_dragon\globe_materialization\city_e1fe8704\asset_manifest.json","queued_for_materialization"
"city_47748120","Sacramento, CA","CA",".\data\clients\black_dragon\globe_materialization\city_47748120",".\data\clients\black_dragon\globe_materialization\city_47748120\asset_manifest.json","queued_for_materialization"
"city_b27a62e8","Salem, OR","OR",".\data\clients\black_dragon\globe_materialization\city_b27a62e8",".\data\clients\black_dragon\globe_materialization\city_b27a62e8\asset_manifest.json","queued_for_materialization"
"city_9b7d017c","Salt Lake City, UT","UT",".\data\clients\black_dragon\globe_materialization\city_9b7d017c",".\data\clients\black_dragon\globe_materialization\city_9b7d017c\asset_manifest.json","queued_for_materialization"
"city_c27d5d7f","San Antonio, TX","TX",".\data\clients\black_dragon\globe_materialization\city_c27d5d7f",".\data\clients\black_dragon\globe_materialization\city_c27d5d7f\asset_manifest.json","queued_for_materialization"
"city_dd17b133","San Diego, CA","CA",".\data\clients\black_dragon\globe_materialization\city_dd17b133",".\data\clients\black_dragon\globe_materialization\city_dd17b133\asset_manifest.json","queued_for_materialization"
"city_d2941d41","San Francisco, CA","CA",".\data\clients\black_dragon\globe_materialization\city_d2941d41",".\data\clients\black_dragon\globe_materialization\city_d2941d41\asset_manifest.json","queued_for_materialization"
"city_759cd460","San Jose, CA","CA",".\data\clients\black_dragon\globe_materialization\city_759cd460",".\data\clients\black_dragon\globe_materialization\city_759cd460\asset_manifest.json","queued_for_materialization"
"city_60b147f2","Santa Fe, NM","NM",".\data\clients\black_dragon\globe_materialization\city_60b147f2",".\data\clients\black_dragon\globe_materialization\city_60b147f2\asset_manifest.json","queued_for_materialization"
"city_c1a02fde","Scottsdale, AZ","AZ",".\data\clients\black_dragon\globe_materialization\city_c1a02fde",".\data\clients\black_dragon\globe_materialization\city_c1a02fde\asset_manifest.json","queued_for_materialization"
"city_b7ea02a9","Seattle, WA","WA",".\data\clients\black_dragon\globe_materialization\city_b7ea02a9",".\data\clients\black_dragon\globe_materialization\city_b7ea02a9\asset_manifest.json","queued_for_materialization"
"city_f7bb5b9c","Sparks, NV","NV",".\data\clients\black_dragon\globe_materialization\city_f7bb5b9c",".\data\clients\black_dragon\globe_materialization\city_f7bb5b9c\asset_manifest.json","queued_for_materialization"
"city_852df262","Spokane, WA","WA",".\data\clients\black_dragon\globe_materialization\city_852df262",".\data\clients\black_dragon\globe_materialization\city_852df262\asset_manifest.json","queued_for_materialization"
"city_82649311","Springfield, MO","MO",".\data\clients\black_dragon\globe_materialization\city_82649311",".\data\clients\black_dragon\globe_materialization\city_82649311\asset_manifest.json","queued_for_materialization"
"city_2a5ba728","St Louis, MO","MO",".\data\clients\black_dragon\globe_materialization\city_2a5ba728",".\data\clients\black_dragon\globe_materialization\city_2a5ba728\asset_manifest.json","queued_for_materialization"
"city_70207d8e","St Paul, MN","MN",".\data\clients\black_dragon\globe_materialization\city_70207d8e",".\data\clients\black_dragon\globe_materialization\city_70207d8e\asset_manifest.json","queued_for_materialization"
"city_936f1437","St Petersburg, FL","FL",".\data\clients\black_dragon\globe_materialization\city_936f1437",".\data\clients\black_dragon\globe_materialization\city_936f1437\asset_manifest.json","queued_for_materialization"
"city_ef557a57","Tacoma, WA","WA",".\data\clients\black_dragon\globe_materialization\city_ef557a57",".\data\clients\black_dragon\globe_materialization\city_ef557a57\asset_manifest.json","queued_for_materialization"
"city_af6fd06c","Tampa, FL","FL",".\data\clients\black_dragon\globe_materialization\city_af6fd06c",".\data\clients\black_dragon\globe_materialization\city_af6fd06c\asset_manifest.json","queued_for_materialization"
"city_4cbdb331","Toledo, OH","OH",".\data\clients\black_dragon\globe_materialization\city_4cbdb331",".\data\clients\black_dragon\globe_materialization\city_4cbdb331\asset_manifest.json","queued_for_materialization"
"city_b903b4d0","Tucson, AZ","AZ",".\data\clients\black_dragon\globe_materialization\city_b903b4d0",".\data\clients\black_dragon\globe_materialization\city_b903b4d0\asset_manifest.json","queued_for_materialization"
"city_936b7d90","Tulsa, OK","OK",".\data\clients\black_dragon\globe_materialization\city_936b7d90",".\data\clients\black_dragon\globe_materialization\city_936b7d90\asset_manifest.json","queued_for_materialization"
"city_82e75d40","Vancouver, WA","WA",".\data\clients\black_dragon\globe_materialization\city_82e75d40",".\data\clients\black_dragon\globe_materialization\city_82e75d40\asset_manifest.json","queued_for_materialization"
"city_29cb8e76","Virginia Beach, VA","VA",".\data\clients\black_dragon\globe_materialization\city_29cb8e76",".\data\clients\black_dragon\globe_materialization\city_29cb8e76\asset_manifest.json","queued_for_materialization"
"city_5fedc010","Washington, DC","DC",".\data\clients\black_dragon\globe_materialization\city_5fedc010",".\data\clients\black_dragon\globe_materialization\city_5fedc010\asset_manifest.json","queued_for_materialization"
"city_c084361b","West Jordan, UT","UT",".\data\clients\black_dragon\globe_materialization\city_c084361b",".\data\clients\black_dragon\globe_materialization\city_c084361b\asset_manifest.json","queued_for_materialization"
"city_b6773437","West Valley City, UT","UT",".\data\clients\black_dragon\globe_materialization\city_b6773437",".\data\clients\black_dragon\globe_materialization\city_b6773437\asset_manifest.json","queued_for_materialization"
"city_763449ef","Winston-Salem, NC","NC",".\data\clients\black_dragon\globe_materialization\city_763449ef",".\data\clients\black_dragon\globe_materialization\city_763449ef\asset_manifest.json","queued_for_materialization"
