"Name","Length","LastWriteTime","FullName"
"L02_state_intelligence.sources.json","2448","5/5/2026 10:23:50 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L02_state_intelligence.sources.json"
"L03_local_agency.sources.json","982","5/5/2026 5:59:43 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L03_local_agency.sources.json"
"L03_LOCAL_AGENCY_INTELLIGENCE.sources.json","2486","5/5/2026 10:29:00 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L03_LOCAL_AGENCY_INTELLIGENCE.sources.json"
"L04_training_infrastructure.sources.json","2589","5/5/2026 11:45:33 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L04_training_infrastructure.sources.json"
"L05_BUDGET_AND_FUNDING.sources.json","2403","5/5/2026 9:09:22 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L05_BUDGET_AND_FUNDING.sources.json"
"L06_BEHAVIORAL_ACTIVITY.sources.json","2501","5/5/2026 9:17:46 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L06_BEHAVIORAL_ACTIVITY.sources.json"
"L07_GEOGRAPHIC_TERRITORY.sources.json","2467","5/5/2026 11:53:32 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L07_GEOGRAPHIC_TERRITORY.sources.json"
"L08_COMMAND_STRUCTURE.sources.json","2478","5/5/2026 9:28:38 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L08_COMMAND_STRUCTURE.sources.json"
"L09_PROCUREMENT_INTELLIGENCE.sources.json","2384","5/5/2026 9:36:31 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L09_PROCUREMENT_INTELLIGENCE.sources.json"
"L10_communication_channels.sources.json","996","5/5/2026 5:59:56 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L10_communication_channels.sources.json"
"L10_COMMUNICATION_INTELLIGENCE.sources.json","2481","5/6/2026 12:03:34 AM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L10_COMMUNICATION_INTELLIGENCE.sources.json"
"L11_INCIDENT_AND_RISK.sources.json","2492","5/5/2026 9:40:40 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L11_INCIDENT_AND_RISK.sources.json"
"L12_ENGAGEMENT_RESPONSE.sources.json","2534","5/6/2026 12:19:33 AM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\L12_ENGAGEMENT_RESPONSE.sources.json"
"layer_source_catalog_index.json","2995","5/5/2026 9:06:08 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\layer_source_catalog_index.json"
"national_source_coverage_matrix.json","1931","5/5/2026 10:07:03 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\national_source_coverage_matrix.json"
"source_gap_analysis.json","2718","5/5/2026 10:07:03 PM","C:\Dev\Nexus_MASTER\public\data\intelligence\sources\source_gap_analysis.json"
